date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025/4/1,sh.603712,18.85,19.59,18.85,19.39,18.8,12562800,242985446.3,3,1.6273,1,3.1383,0
2025/4/2,sh.603712,19.2,19.59,19.11,19.22,19.39,11209300,216678628,3,1.452,1,-0.8767,0
2025/4/3,sh.603712,19.06,19.48,18.72,19.23,19.22,10499330,200482984.4,3,1.36,1,0.052,0
2025/4/7,sh.603712,18.6,18.96,17.31,17.83,19.23,18924580,343046474.5,3,2.4514,1,-7.2803,0
2025/4/8,sh.603712,17.86,18.51,17.34,17.76,17.83,11630877,207099256.6,3,1.5066,1,-0.3926,0
2025/4/9,sh.603712,17.61,19.54,17.25,19.54,17.76,20895300,396634366,3,2.7066,1,10.0225,0
2025/4/10,sh.603712,19.49,20.26,19.28,19.71,19.54,26482650,527104281.5,3,3.4304,1,0.87,0
2025/4/11,sh.603712,19.59,20.42,19.45,20.12,19.71,20907710,419745756.1,3,2.7083,1,2.0802,0
2025/4/14,sh.603712,20.15,20.4,19.83,19.98,20.12,14276560,286249258,3,1.8493,1,-0.6958,0
2025/4/15,sh.603712,19.96,20.53,19.66,20.38,19.98,14495205,291082865,3,1.8776,1,2.002,0
2025/4/16,sh.603712,20.35,20.35,19.72,19.94,20.38,9315650,186411299,3,1.2067,1,-2.159,0
2025/4/17,sh.603712,19.88,20.56,19.88,19.99,19.94,13823500,280366063,3,1.7906,1,0.2508,0
2025/4/18,sh.603712,19.99,20.48,19.51,20,19.99,10357374,206407499.4,3,1.3416,1,0.05,0
2025/4/21,sh.603712,20.05,20.41,19.86,20.19,20,9243562,186883460,3,1.1974,1,0.95,0
2025/4/22,sh.603712,20.09,20.19,19.6,19.88,20.19,11471100,227800834,3,1.4859,1,-1.5354,0
2025/4/23,sh.603712,19.81,19.97,19.02,19.29,19.88,13999400,270197830,3,1.8134,1,-2.9678,0
2025/4/24,sh.603712,19.11,19.45,18.8,19.32,19.29,9820568,188456551,3,1.2721,1,0.1555,0
2025/4/25,sh.603712,19.13,19.3,18.84,18.98,19.32,7347880,139690775.8,3,0.9518,1,-1.7598,0
2025/4/28,sh.603712,18.91,19.1,18.4,18.4,18.98,8489826,158230045.7,3,1.0997,1,-3.0558,0
2025/4/29,sh.603712,18.08,18.45,17.89,18.4,18.4,8324600,151381190,3,1.0783,1,0,0
2025/4/30,sh.603712,18.41,18.58,18.3,18.45,18.4,5554735,102508688.2,3,0.7195,1,0.2717,0
2025/5/6,sh.603712,18.56,19.19,18.5,19.16,18.45,10032747,189325653.1,3,1.2996,1,3.8482,0
2025/5/7,sh.603712,19.3,20.1,19.1,19.68,19.16,16171180,317298534.4,3,2.0947,1,2.714,0
2025/5/8,sh.603712,19.69,20.2,19.52,20.19,19.68,16461587,327721161.9,3,2.1323,1,2.5915,0
2025/5/9,sh.603712,20.5,20.63,19.81,19.99,20.19,21416312,431474211.3,3,2.7741,1,-0.9906,0
2025/5/12,sh.603712,20,21.99,19.58,21.99,19.99,29057105,621526344.9,3,3.7639,1,10.005,0
2025/5/13,sh.603712,22.84,23.22,21.33,21.45,21.99,69557908,1553245436,3,9.0101,1,-2.4557,0
2025/5/14,sh.603712,21.35,21.78,20.92,21.09,21.45,30565115,646310470.4,3,3.9592,1,-1.6783,0
2025/5/15,sh.603712,20.88,20.98,20.29,20.42,21.09,23966804,492673333.2,3,3.1045,1,-3.1769,0
2025/5/16,sh.603712,20.34,20.8,20.21,20.25,20.42,15555000,317635012,3,2.0149,1,-0.8325,0
2025/5/19,sh.603712,20.25,20.63,20.13,20.53,20.25,20341500,416582861.4,3,2.6349,1,1.3827,0
2025/5/20,sh.603712,20.42,20.42,19.84,19.88,20.53,21279684,426056849.4,3,2.7564,1,-3.1661,0
2025/5/21,sh.603712,19.85,19.85,19.46,19.47,19.88,14336932,280565093.7,3,1.8571,1,-2.0624,0
2025/5/22,sh.603712,19.43,20.58,19.32,19.96,19.47,28140549,564242645.2,3,3.6451,1,2.5167,0
2025/5/23,sh.603712,19.66,20.07,19.6,19.63,19.96,13509828,267652377.9,3,1.75,1,-1.6533,0
2025/5/26,sh.603712,19.5,20.06,19.38,20.04,19.63,10346250,205131476.5,3,1.3402,1,2.0886,0
2025/5/27,sh.603712,20.05,20.21,19.77,20.14,20.04,10154438,203022185.7,3,1.3153,1,0.499,0
2025/5/28,sh.603712,20.09,20.1,19.54,19.59,20.14,9489040,187529636.3,3,1.2292,1,-2.7309,0
2025/5/29,sh.603712,19.52,19.88,19.51,19.85,19.59,8798590,174145562.8,3,1.1397,1,1.3272,0
2025/5/30,sh.603712,19.96,20.57,19.58,20.33,19.85,18613990,375254989.6,3,2.4111,1,2.4181,0
2025/6/3,sh.603712,20.37,20.89,20.28,20.65,20.33,21211201,437369244.4,3,2.7476,1,1.574,0
2025/6/4,sh.603712,20.45,20.7,20.34,20.41,20.65,11889256,243069320.5,3,1.5401,1,-1.1622,0
2025/6/5,sh.603712,20.33,20.68,19.98,20.6,20.41,13637676,278522801.9,3,1.7665,1,0.9309,0
2025/6/6,sh.603712,20.61,21.15,20.42,20.91,20.6,16614045,344786196.6,3,2.1521,1,1.5049,0
2025/6/9,sh.603712,20.8,21.21,20.8,20.96,20.91,14947500,313390043,3,1.9362,1,0.2391,0
2025/6/10,sh.603712,20.92,20.92,19.96,20.29,20.96,16036740,326878741.9,3,2.0773,1,-3.1966,0
2025/6/11,sh.603712,20.14,20.39,20.08,20.22,20.29,7980000,161301064,3,1.0337,1,-0.345,0
2025/6/12,sh.603712,20.1,20.2,19.92,19.98,20.22,8919688,178773612.7,3,1.1554,1,-1.1869,0
2025/6/13,sh.603712,20.04,20.25,19.75,19.83,19.98,18544849,370377936.1,3,2.4022,1,-0.7508,0
2025/6/16,sh.603712,19.82,19.94,19.66,19.79,19.83,9816923,194150300.3,3,1.2716,1,-0.2017,0
2025/6/17,sh.603712,19.91,20.41,19.87,20.18,19.79,14657401,295532230.2,3,1.8986,1,1.9707,0
2025/6/18,sh.603712,20.09,20.45,20.02,20.07,20.18,12949356,262132076.9,3,1.6774,1,-0.5451,0
2025/6/19,sh.603712,19.99,19.99,19.2,19.46,20.07,15896143,309463497.8,3,2.0591,1,-3.0394,0
2025/6/20,sh.603712,19.39,19.54,19.08,19.21,19.46,9022000,174093561,3,1.1687,1,-1.2847,0
2025/6/23,sh.603712,19.06,19.34,18.98,19.3,19.21,11281101,216325930.7,3,1.4613,1,0.4685,0
2025/6/24,sh.603712,19.08,19.5,18.86,19.44,19.3,12912898,248746848.3,3,1.6727,1,0.7254,0
2025/6/25,sh.603712,19.45,20.2,19.41,19.96,19.44,16838752,335004167.6,3,2.1812,1,2.6749,0
2025/6/26,sh.603712,19.99,20.92,19.95,20.33,19.96,28289451,578492393.1,3,3.6644,1,1.8537,0
2025/6/27,sh.603712,20.34,20.59,20.12,20.15,20.33,18272421,371162321.3,3,2.3669,1,-0.8854,0
2025/6/30,sh.603712,20.21,21.18,20.16,21.01,20.15,32149608,670207659.7,3,4.1645,1,4.268,0
2025/7/1,sh.603712,21.02,21.83,20.84,21.54,21.01,37181405,791132637,3,4.8162,1,2.5226,0
2025/7/2,sh.603712,21.5,21.5,20.66,20.96,21.54,23220962,486180616.9,3,3.0079,1,-2.6927,0
2025/7/3,sh.603712,20.82,22.3,20.82,21.66,20.96,36810081,798216109.4,3,4.7681,1,3.3397,0
2025/7/4,sh.603712,21.4,21.58,20.98,21.31,21.66,17301300,367634426.4,3,2.2411,1,-1.6159,0
2025/7/7,sh.603712,21.21,21.25,20.73,20.84,21.31,13042700,272329224,3,1.6895,1,-2.2055,0
2025/7/8,sh.603712,20.67,21.43,20.58,21.06,20.84,16829946,354016569.9,3,2.18,1,1.0557,0
2025/7/9,sh.603712,21.07,21.2,20.73,20.84,21.06,11640300,244138360,3,1.5078,1,-1.0446,0
2025/7/10,sh.603712,20.76,20.78,20.42,20.58,20.84,12736440,261740505,3,1.6498,1,-1.2476,0
2025/7/11,sh.603712,20.5,20.8,20.48,20.68,20.58,10521887,217733839.4,3,1.3629,1,0.4859,0
2025/7/14,sh.603712,20.7,20.85,20.43,20.51,20.68,9580100,197198787,3,1.2409,1,-0.8221,0
2025/7/15,sh.603712,20.05,20.27,19.68,19.94,20.51,19980897,398286318.9,3,2.5882,1,-2.7791,0
2025/7/16,sh.603712,19.9,20.1,19.83,19.95,19.94,6455500,129015135,3,0.8362,1,0.0502,0
2025/7/17,sh.603712,19.99,20.73,19.9,20.56,19.95,16665442,339716740.1,3,2.1587,1,3.0576,0
2025/7/18,sh.603712,20.52,20.85,20.39,20.65,20.56,11115334,228887659.1,3,1.4398,1,0.4377,0
2025/7/21,sh.603712,20.66,21.05,20.56,20.79,20.65,12012700,249894207.9,3,1.556,1,0.678,0
2025/7/22,sh.603712,20.71,20.93,20.5,20.62,20.79,13060161,270163783,3,1.6917,1,-0.8177,0
2025/7/23,sh.603712,20.62,20.65,20.21,20.26,20.62,10764626,218823968.1,3,1.3944,1,-1.7459,0
2025/7/24,sh.603712,20.5,21.62,20.24,21.08,20.26,23705498,495376623,3,3.0707,1,4.0474,0
2025/7/25,sh.603712,21.08,21.25,20.91,21.17,21.08,12080681,254419417.3,3,1.5649,1,0.4269,0
2025/7/28,sh.603712,21.22,21.64,21.09,21.3,21.17,18246101,388870942,3,2.3635,1,0.6141,0
2025/7/29,sh.603712,20.9,21.5,20.89,21.49,21.3,14548812,309028975.1,3,1.8846,1,0.892,0
2025/7/30,sh.603712,21.49,22.1,21.1,21.32,21.49,19916245,429746725.5,3,2.5798,1,-0.7911,0
2025/7/31,sh.603712,21.3,21.53,21.07,21.19,21.32,18446679,393057298.1,3,2.3895,1,-0.6098,0
2025/8/1,sh.603712,21.17,21.2,20.6,20.86,21.19,13643059,284559460.2,3,1.7672,1,-1.5573,0
2025/8/4,sh.603712,20.63,22.06,20.6,22.03,20.86,33273818,722436029.7,3,4.3101,1,5.6088,0
2025/8/5,sh.603712,22.3,24.01,22.3,22.87,22.03,54263600,1250276522,3,7.029,1,3.813,0
2025/8/6,sh.603712,22.78,23.3,22.5,23.01,22.87,37157986,854586938.2,3,4.8132,1,0.6122,0
